ID|Document_Name|Segment|I_HDR|I_CD|I_HWB|I_PYD|I_AG|I_NR|P_Beef|P_Crops & Soils|P_Dairy|P_Discovery Farms|P_Farm Management|P_Horticulture|P_Swine|P_Org Lead Development|P_Local Government Education|P_Community Food Systems|P_Community Economic Dev|P_WGNHS|P_Upham Woods|P_Land & Water Program|P_Lake Superior NERR|P_Parenting / Family Engagement|P_Aging / Lifespan|P_Financial Capability|P_Behavioral Health|P_HEAL|P_CYD|P_WI 4-H
1|Consumer Gardening Programs|Gardening has continued to be one of the favorite hobbies of Americans. According to the National Gardening Association in 2014, 35% of all households in America, or 42 million households, are growing food at home or in a community garden, up 17% in five years. UW-Extension and Master Gardener Volunteers provide research based programs and resources needed to support gardening as an enjoyable, satisfying, and environmentally responsible activity. However, still many working adults, parents and senior citizens in the county lack the knowledge and confidence to be successful gardeners.|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2|New Farm Beginnings|Agriculture is the top industry in Clark County and Trempealeau Counties and much of my programming reflects that, whether it is offering Farm Succession Workshops, water quality testing, or agricultural plastics recycling. A majority of farms are family owned and the average age of a cropland owner is 65 years or older, hence a need for farm succession planning. In addition, as farmers look to diversify in changing economic climates, the need for farm management education is more important than ever.|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
3|Crops/Soil 2019-2020|Improving forage quality, production and management practices continues to be a key factor in the success of dairy and livestock farms. Forage crops account for nearly half (48%) of all cropland in Waupaca county, primarily alfalfa (67%) and corn silage (33%). A new local watershed project received federal funding in 2018 to help improve and protect water quality in Bear Lake and the Lower Little Wolf River through expanded soil conservation and nutrient management practices. The Waupaca County Forage Council remains a primary avenue for local UW-Extension forage and soil/water conservation outreach efforts.|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
4|Dairy 2019-2020|Dairy remains the leading farm enterprise in Waupaca County accounting for two-thirds of all farm sales. Low milk prices for 2-3 years and a shrinking labor supply has many dairy farmers exploring options to improve productivity and/or labor efficiency, and some exploring shifting from a dairy to beef farming.|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
5|Animal Agriculture (2019)|"Agriculture is a prominent industry in Grant County and one major concern for farmers is remaining profitable in this poor economic time. Low milk prices have plagued the dairy industry since 2015 with the low milk prices projected to continue into 2019. We have seen some transitions and diversification in enterprises. We have especially seen dairy farmers transitioning to beef enterprises. The need for beef production programming in this area is evident through the 2016 Grant County Extension Needs Assessment Survey where respondents were asked to rate 11 educational topic areas where Beef Production ranked third and 29% of respondents viewed Beef Production as ""Very Important"" to Grant County. Programing efforts will be focused on providing unbiased, researched based information."|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
6|Crop Production |Forage and grain crop production is a staple of livestock agriculture. Quality forage is essential for dairy farm profitability. Additionally small livestock farms and beef operations are common in Clark County. Clark County has 156,000 acres committed to forage production. Most of this forage production is used to feed the county's livestock. Clark County has 131,200 acres committed to grain production. Crop revenue is $33 million annually, 10% of the total agriculture production sales (2012 Census of Agriculture), but a majority of the grain produced is used to feed the 160,000 head of cattle and calves in the county.A goal is to improve yield and quality of forage and grain by all producers in Clark County. Producers must continually adapt new management practices to remain profitable. The needs assessment identified grain and forage production programming as a need in the county.|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
7|Farm Business Management |An area of interest and concern for dairy producers in Marathon County is remaining profitable. With low milk prices for the last three years and projected low prices to continue into 2019 this is even more important. In a needs assessment producers indicated that proper nutrition, milk quality, and reproductive success were important to keeping their business profitable. Designing breeding programs that optimize genetics and reproductive efficiency are important in creating a profitable dairy business. Therefore, this agent will focus on providing support and education to producers looking to create a profitable dairy business. Efforts will focus on milk quality, animal wellbeing, reproduction and genetic selection.The Dairy Industry remains paramount to the success of agriculture in Marathon County. With the low commodity prices seen in 2016 for both grain crops and milk, dairy producers need to have a close eye on their finances. Having a strong understanding of Farm Financial Business Management allows farmers to maximize their bottom line.In order to maintain profitable dairy farms, producers in Marathon County need to understand farm financial management. Farm financial management education in Marathon County centers on increasing awareness of budgeting and succession planning.|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
8|Livestock Management (2019)|Marquette County has a formalized specialization agreement with Adams, Green Lake, Juneau, Portage, Waushara, and Wood Counties known as the Central Wisconsin Agriculture Specialization (CWAS). The responsibilities of this educator will primarily be planning and implementing educational sessions or services that relate to livestock management and production in Marquette County as well as the six counties listed here. The specialized agents in Adams, Green Lake, Juneau, Portage, Waushara, and Wood Counties have similar responsibilities in their respective agriculture education field: Adams historically provided agronomy and nutrient management; Green Lake provided commercial horticulture and nutrient management instruction; Juneau provided dairy and forage management; Portage provided vegetable production; Waushara provided farm business management; Wood provides dairy and cranberry production. At the start of 2019, the Adams and Green Lake positions are now filled and Waushara has an interim agent. With the addition of new staff, adjustments of areas of specialty may need to be addressed.In Marquette County, on an annual basis, agriculture provides $593 million of economic activity (66% of the county's total economic activity) and jobs for 43% of the county workforce. Livestock sales account for 45% of the market value of products sold by farms. The 2012 Census of Agriculture estimates that there are 14,569 cattle and calves in Marquette County. In Marquette County, there are 88 operations with beef cattle and 48 with dairy cattle. There are 25 operations raising pigs and 16 operations with sheep. In the larger CWAS area, there are a total of 13,291 beef cows on 872 farms. Most farms have under 50 cows.60,105 milking cows on 673 farms. Most farms have over 100 milking cows.24,416 broiler chickens on 137 farms. over 28,758 laying hens on 544 farms. Most farms have under 50 laying birds.763 turkeys on 45 farms.over 4,511 pigs on 183 farms. The majority of farms have under 25 pigs.3,507 sheep on 150 farms. The majority of farms have under 25 sheep.8,035 horses, ponies, burros, donkeys, and mules on 1,344 farms.997 rabbits on 61 farms.Having reviewed the farm statistics, the results support that the majority of livestock farmers in the area are generally small-scale farmers. These farms are often diversified with multiple species present based on my on-farm observations over the past five years.In the 2014 formal needs assessment, grazing and pasture management continues to be a prominent educational programming desire in Marquette County. In addition to the formal (written) needs assessment, based on the types of livestock questions made to the UW-Extension office throughout the year, education on animal nutrition, management, and care would be of interest to adult and youth livestock farmers. These observations lead to an interest in expanding the contact list to include more livestock producers (besides beef) and diversify livestock programming efforts to reach out to non-beef livestock producers in addition to beef programming efforts.According to a national study completed by the National Animal Health Monitoring System (published in 2012 by the USDA Animal and Plant Health Inspection Service), 56% of small-scale (under $500,000 in gross annual sales) livestock operators preferred to get management/care information from local Cooperative Extension offices. A preference for written publications for additional management/care information was a close second with 49.4% of operations. This information supports the importance of local Cooperative Extension offices in not only directly providing research-based information to farmers, but also the need to contribute to relevant periodicals that farmers may read.|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
9|General Horticulture Programming|Gardening and horticulture is one of the top leisure activities with some reports showing over 85% of people participate. Food production in home and community gardens continues to increase, and the therapeutic and mental health benefits of working with plants and nature are becoming increasingly recognized. Consumer gardening practices can greatly affect personal, public and environmental health. The high number of inquiries into Extension offices indicates local residents need research based information to be successful. The 6 county area of Pierce, Polk, St. Croix, Dunn, Eau Claire and Chippewa have a mix of urban and rural areas, with a strong history of participation in horticultural events and activities, and a commitment to environmental protection.|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
10|Farm Risk Management (2019)|With several years of depressed agriculture commodity prices, farmers are looking for alternative ways to make a profit with their farm. In past years farmers have relied on corn and soybean production to supplement their on-farm income. With rising agriculture input costs coupled with low commodity prices in recent years, farmers are looking for new ways to meet their bottom line.A prior needs assessment revealed that farm financial/business management, specifically cost of production calculations, measuring enterprise profitability, and financial management information are priorities for producers in Marquette County. In addition, farm transfers/estate planning and tax management are of interest to farmers in Marquette County. Other topics of interest included farm product marketing and land use/natural resource management issues. The visioning session for this position also emphasized the importance of farm business management and meeting the needs of limited-resource farmers.|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
11|Dairy Production Management|An area of interest and concern for dairy producers in Marathon County is remaining profitable. With low milk prices for the last three years and projected low prices to continue into 2019 this is even more important. In a needs assessment producers indicated that proper nutrition, milk quality, and reproductive success were important to keeping their business profitable. Designing breeding programs that optimize genetics and reproductive efficiency are important in creating a profitable dairy business. Therefore, this agent will focus on providing support and education to producers looking to create a profitable dairy business. Efforts will focus on milk quality, animal wellbeing, reproduction and genetic selection.The Dairy Industry remains paramount to the success of agriculture in Marathon County. With the low commodity prices seen in 2016 for both grain crops and milk, dairy producers need to have a close eye on their finances. Having a strong understanding of Farm Financial Business Management allows farmers to maximize their bottom line. In order to maintain profitable dairy farms, producers in Marathon County need to understand farm financial management. Farm financial management education in Marathon County centers on increasing awareness of budgeting and succession planning.|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
12|Agriculture Management|According to the Census of Agriculture-USDA 2016 Wisconsin Agriculture Statistics, Green County is home to 29,000 dairy cows and 245 licensed dairy farms. In 2018, Wisconsin lost 638 dairy farms which is a 7.25% decline. Green County also has around 46,000 head of beef cattle and other animal species. We farm over 192,000 acres of cropland. Farming across the United States has been hit with some tough times. Agriculture producers are trying to find ways to diversify farm income so their farms survive. At the present time, it's not just dairy farmers who are looking for ways to make extra income. Due to tight margins, programming is needed to share with producers ways to make extra income. Programs that focus on efficiency and sharing profitable production practices is one example. Another option is assisting dairy producers consider and implement income alternatives if they decide to sell the herd. Helping agriculture producers understand their current situation (financial and operational), where they want to be and how they can get there is something every producer needs to think about whether they stay in farming or choose another route. The average age of farmers is 56 years and it is difficult for them to determine their succession plan. I just started into this position in Green County in August of 2018. Part of my plans are to create a needs assessment for the farmers to see what their needs are. Currently planning is based on my personal experiences in the agriculture industry and what co-workers, Ag and Extension Committee, and the past educator has done. Green County is also working on developing a water testing plan protocol and along with the results of the SWIGG study in nearby counties, many farmers in Green County are wondering if agriculture is playing a part in water contamination. Providing seminars on water quality related to agriculture is being planned and continuing to talk about water quality in the future on radio shows and articles will be happening.|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
13|Cranberry Programming|Wisconsin leads the nation in cranberry production with over 60% of the nations crop. In Wisconsin the cranberry crop is worth over $100 million at the farm and provides many job opportunities in support industries such as cranberry warehousing, processing, marketing and crop inputs. In Wood County the industry is over $40 million at the marsh level.The industry has suffered low prices for a number of years now and growers are looking for sustainable practices that improve yield while minimizing the cost of crop inputs. This includes more labor saving harvest practices, precision timing and research based fertilizer applications utilization of new chemistry of pesticides as released to replace old products no longer available utilizing pest management principles.|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
14|Dairy/Livestock Production|As Richland County continues to see changes in demographics and funding there has been a primary change to the role of the Agriculture agent in Richland County. The county decided to reduce the position to a half time position. Also with in that same time frame Crawford County had a vacancy in its agriculture position. It was then agreed upon to move to a split position were 50% time was in Richland and 50% time in Crawford. The two counties are very similar with regards to its agricultural community. According to the 2012 Census of Agriculture Data, Richland County has 1,260 farms and Crawford County has 1,105. Both counties showed a trend down from the 2007 census. While the number of farms has been decreasing, the average size has increased. Land used for agricultural production is predomantly used for crop production in both counties, with 45% and 49 % percent of Crawford and Richland County's Ag land devoted to crop production. The census data also shows us that market value of the products sold is increasing on Richland County farms as well. As a County, the market value of agricultural products sold in 2012 was $115,451,000 up 37% from the 2007 Census of Agriculture. Looking at the breakdown, Richland County is still heavily reliant on sales generated by livestock and their products (72% of the agricultural sales). While Crawford County is more balanced with 50% of its agricultural sales coming from Livestock sales. A quick overview of the agricultural sector in Richland County shows us that the top agricultural commodities in Richland County by sales are: Milk, Grain, Cattle & Calves, Fruits/ Tree nuts / Berries, and Vegetables. Top Commodities for Crawford County are: Cattle & Calves, Grains, and Hogs and Pigs. While being focused on livestock production, Richland and Crawford Counties offer very diverse landscape with many very small agricultural operations. Utilizing the farm finical data offered by USDA, 70% of Richland County farms and 68% of Crawford County Farms had less than $25,000 in gross sales (2012). Sales of agricultural products in this range are an indication that these producers are not utilizing agriculture as their primary income, and agriculture as a part of their lifestyle. Lifestyle producers view agriculture as a way to supplement their land base, add extra income or enhance their quality of life. From the increase in the number of calls and office visits; it is evident that basic animal husbandry, market development and environmental resources are needed.|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
15|Forage Crops |Yearly weather variations make twice-weekly monitoring important to ensure harvesting high quality forage. Partner with the Sheboygan County Forage Council to implement the alfalfa quality monitoring project.|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
