"","V1","V2"
"1",397,240
"2",327,176
"3",360,148
"4",90,351
"5",156,284
"6",402,125
"7",130,54
"8",224,22
"9",300,108
"10",179,80
"11",28,304
"12",231,66
"13",196,171
"14",29,359
"15",63,162
"16",426,288
"17",422,171
"18",168,332
"19",39,412
"20",83,399
"21",360,285
"22",196,121
"23",142,375
"24",302,293
"25",23,16
"26",184,224
"27",125,252
"28",65,277
"29",79,82
"30",119,411
"31",297,252
"32",78,0
"33",384,79
"34",359,374
"35",308,420
"36",170,9
"37",36,61
"38",97,114
"39",21,101
"40",11,155
"41",288,21
"42",421,398
"43",345,323
"44",328,38
"45",386,36
"46",310,363
"47",31,210
"48",431,365
"49",422,332
"50",362,426
"51",397,426
"52",278,393
"53",383,321
