"","V1","V2"
"1",312,331
"2",348,254
"3",130.641726433196,355.815217829088
"4",93,316
"5",285,389
"6",146.440725923292,56.0450141126766
"7",209,85
"8",162,410
"9",44,391
"10",410,408
"11",191.085135741537,303.527039905965
"12",234,48
"13",167.715633451397,225.995088726429
"14",215,391
"15",165,0
"16",358,391
"17",115,2
"18",73,81
"19",64,336
"20",118,409
"21",47,6
"22",368,301
"23",75,407
"24",199,343
"25",35,361
"26",117,134
"27",216,11
"28",326,415
"29",180,132
"30",43,35
"31",244,186
"32",418,374
"33",425,333
"34",105,182
"35",69,243
"36",265,216
"37",82,272
"38",254,255
"39",66,204
