,V1,V2,weight
1,A,B,2
2,A,D,1
3,A,F,1
4,A,H,1
5,A,K,1
6,A,L,1
7,A,M,1
8,A,N,1
9,A,O,1
10,A,P,1
11,A,Q,1
12,A,Y,1
13,A,B2,1
14,B,J,1
15,B,N,1
16,B,F2,1
17,B,O2,1
18,C,D,1
19,C,E,2
20,C,G,1
21,C,H,1
22,C,I,2
23,C,J,2
24,C,K,2
25,C,L,2
26,C,M,2
27,C,N,1
28,C,O,2
29,C,P,2
30,C,Q,2
31,C,R,2
32,C,V,1
33,C,H2,2
34,C,I2,1
35,C,P2,1
36,C,W2,2
37,C,Z2,1
38,D,K,1
39,D,M,1
40,D,P,2
41,D,F2,1
42,E,K,1
43,E,L,2
44,E,M,2
45,F,J,1
46,F,K,1
47,F,N,1
48,F,A2,1
49,G,H,2
50,G,I,2
51,G,O,2
52,G,S3,1
53,H,I,2
54,H,K,1
55,H,L,1
56,H,M,1
57,H,O,2
58,H,R,1
59,H,S,1
60,H,U,2
61,H,W,1
62,H,Y,1
63,H,Z,1
64,H,B2,1
65,H,C2,1
66,H,J2,1
67,H,K2,1
68,H,L2,1
69,H,T2,1
70,H,X2,2
71,H,H3,1
72,I,N,1
73,I,O,1
74,I,R,1
75,J,M,2
76,J,O,1
77,J,P,1
78,J,A2,1
79,J,C2,1
80,J,E3,2
81,J,K3,1
82,K,L,1
83,K,M,2
84,K,O,1
85,K,P,1
86,K,Q,1
87,K,R,2
88,K,T,1
89,K,W,1
90,K,Z,1
91,K,A2,1
92,K,B2,1
93,K,C2,1
94,K,L2,1
95,K,T2,1
96,K,E3,1
97,K,K3,1
98,K,L3,2
99,K,Y3,1
100,L,M,2
101,L,W,1
102,L,Z,1
103,L,B2,1
104,L,C2,1
105,L,T2,1
106,M,P,1
107,M,U,1
108,M,W,1
109,M,Z,1
110,M,C2,1
111,N,V,1
112,N,G2,1
113,N,H2,1
114,N,I2,1
115,N,P2,1
116,N,W2,2
117,N,Z2,1
118,N,M3,1
119,O,Q,1
120,O,R,1
121,P,Q,1
122,P,X2,1
123,R,E3,1
124,S,T,1
125,S,W,1
126,S,Z,1
127,S,B2,1
128,S,C2,1
129,T,X,1
130,T,A2,1
131,T,B2,1
132,T,C2,2
133,T,G2,1
134,T,E3,1
135,T,K3,1
136,U,W,1
137,U,Z,2
138,U,A2,1
139,U,B2,2
140,U,C2,1
141,V,Z,2
142,V,F2,1
143,V,I2,1
144,W,Z,1
145,W,A2,1
146,W,B2,1
147,W,C2,1
148,W,D2,1
149,W,F2,2
150,Y,Z,2
151,Y,F2,1
152,Z,A2,1
153,Z,B2,2
154,Z,C2,1
155,Z,D2,1
156,Z,F2,1
157,Z,H2,2
158,A2,B2,2
159,A2,C2,1
160,A2,D2,1
161,A2,F2,1
162,A2,H2,1
163,A2,K2,1
164,A2,E3,1
165,B2,C2,1
166,B2,D2,2
167,B2,F2,1
168,B2,A4,1
169,C2,F2,1
170,C2,I2,2
171,C2,Y3,1
172,C2,A4,1
173,D2,F2,2
174,D2,C3,1
175,E2,F2,1
176,F2,H2,1
177,F2,I2,1
178,F2,O2,1
179,F2,J3,1
180,G2,O2,1
181,H2,I2,2
182,I2,W2,1
183,J2,L2,1
184,J2,O2,1
185,J2,Q2,1
