INDEX,V1,V2,contact
1,A,B,2
10,A,O,1
100,H,T3,1
101,H,Y3,1
102,H,A4,1
103,I,K,1
104,I,M,1
105,I,N,1
106,I,O,2
107,I,R,1
108,I,H2,1
109,I,N2,1
11,A,P,1
110,I,Q2,1
111,I,B3,1
112,J,M,2
113,J,O,1
114,J,P,2
115,J,T,1
116,J,V,1
117,J,A2,1
118,J,C2,1
119,J,I2,1
12,A,Q,1
120,J,W2,1
121,J,E3,2
122,J,K3,1
123,K,L,2
124,K,M,2
125,K,O,1
126,K,P,2
127,K,Q,1
128,K,R,2
129,K,S,1
13,A,Y,1
130,K,T,1
131,K,W,1
132,K,Y,1
133,K,Z,1
134,K,A2,1
135,K,B2,2
136,K,C2,1
137,K,H2,1
138,K,K2,1
139,K,L2,1
14,A,B2,1
140,K,M2,1
141,K,T2,1
142,K,E3,1
143,K,K3,1
144,K,L3,2
145,K,Q3,1
146,K,A4,1
147,L,M,2
148,L,O,1
149,L,P,2
15,A,F2,1
150,L,W,1
151,L,Z,1
152,L,B2,1
153,L,C2,1
154,L,F2,1
155,L,T2,1
156,L,A4,1
157,M,O,1
158,M,P,1
159,M,R,1
16,A,X2,1
160,M,S,1
161,M,U,1
162,M,W,1
163,M,Z,1
164,M,C2,1
165,M,F2,1
166,M,T2,1
167,M,Z2,1
168,M,A4,1
169,N,V,1
17,A,H3,1
170,N,G2,1
171,N,H2,1
172,N,I2,1
173,N,P2,1
174,N,W2,2
175,N,Z2,1
176,N,M3,1
177,O,P,1
178,O,Q,1
179,O,R,1
18,B,G,1
180,O,W,1
181,O,Y,1
182,O,J2,1
183,O,M2,1
184,O,X2,1
185,O,C3,1
186,O,H3,1
187,O,S3,1
188,P,Q,2
189,P,Y,1
19,B,J,2
190,P,Z,1
191,P,D2,1
192,P,X2,1
193,P,D3,1
194,P,T3,1
195,Q,R,1
196,Q,D2,1
197,Q,D3,1
198,R,A2,1
199,R,E3,1
2,A,D,1
20,B,K,1
200,S,T,2
201,S,W,1
202,S,Z,1
203,S,A2,1
204,S,B2,1
205,S,C2,2
206,S,T2,1
207,S,U2,1
208,T,W,1
209,T,X,1
21,B,N,2
210,T,A2,2
211,T,B2,2
212,T,C2,2
213,T,E2,1
214,T,G2,2
215,T,M2,1
216,T,E3,1
217,T,K3,2
218,U,W,1
219,U,Z,2
22,B,O,1
220,U,A2,1
221,U,B2,2
222,U,C2,2
223,U,D2,1
224,U,J2,1
225,U,U2,1
226,U,A4,1
227,V,Z,2
228,V,C2,1
229,V,F2,1
23,B,F2,1
230,V,I2,1
231,W,Y,1
232,W,Z,1
233,W,A2,1
234,W,B2,1
235,W,C2,2
236,W,D2,2
237,W,F2,1
238,W,H2,1
239,W,L2,1
24,B,O2,2
240,W,T2,1
241,W,N3,1
242,W,Y3,1
243,W,A4,1
244,Y,Z,2
245,Y,A2,1
246,Y,C2,1
247,Y,D2,1
248,Y,F2,1
249,Y,X2,1
25,B,A3,1
250,Y,C3,1
251,Y,H3,1
252,Z,A2,1
253,Z,B2,2
254,Z,C2,2
255,Z,D2,1
256,Z,F2,1
257,Z,H2,2
258,Z,D3,1
259,Z,G3,1
26,B,J3,1
