"","V1","V2"
"1",89.7974060876448,357.330819910381
"2",252,471
"3",48,311
"4",40,409
"5",211,374
"6",182,413
"7",87,392
"8",63,373
"9",216.900995012594,332.949228510423
"10",131,217
"11",153,253
"12",46,184
"13",8,430.182373698081
"14",141,519
"15",204,396
"16",177,433
"17",407,414
"18",174,273
"19",16,277
"20",294.768694881603,291.042875553302
"21",175,138
"22",220,217
"23",38,328
"24",37,343
"25",134,297
"26",383.052553995565,311.928765841752
"27",294,104
"28",368,202
"29",157,459
"30",468.483174447049,436.131198566974
"31",85,563
"32",39,482
"33",38,505
"34",66.0539163955702,453.706530506223
"35",159,488
"36",400,279
"37",354,372
"38",351,260
"39",300,352
"40",361,333
"41",416,453
"42",335,400
"43",391,474
"44",225,596
"45",337,534
"46",298,424
"47",265.697432140581,491.810586803192
"48",435,388
"49",166,661
"50",133,617
"51",355,506
"52",342,437
"53",26,587
"54",449,495
"55",481,126
"56",419,238
"57",596,315
"58",454,49
"59",519,209
"60",459,297
"61",494,360
"62",499.85741624539,402.306856009329
"63",492,341
"64",458,178
"65",515,268
"66",587,387
"67",586,418
"68",620,453
"69",570.872477963135,66.7684668702757
"70",695.127469612953,336.561960916908
"71",402.297741381072,559.472112836294
"72",538.421846134573,538.822696864534
"73",467.391187204457,580.756340938785
"74",581.783468568539,470.196358505581
"75",523,558
"76",618,616
"77",589,508
"78",428.053610211484,638.164660659393
"79",754,479
"80",332,0
