ID|Role|YearsExperience|Gender|Age|Strengths|Weaknesses|Opportunities|Threats
1|County Coordinator/Educator|43595|Male|25-44|Provides an outline of topic and activities to cover during the training|Methods to collect data for annual summary - I believe you are on the right track with the new reporting system|How to get younger volunteers (i.e. millennials) or methods on how local educators can use younger volunteers in program work|How MGVs interact with garden clubs.  There can be synergies if done correctly and disastrous if not.  
2|Master Gardener Volunteer|0-5|Male|45-64|Can't on cell|Too much spam mail|Help improve the world|None
3|Master Gardener Volunteer|0-5|Female|45-64|Teach the community |Stagnation of county MGV leadership ideas|So many opportunities are brought to the MGV's from the community & membership. It would be nice to expand the projects our group is involved in. |Again, stagnation of the county MGV leadership (in programs, ideas and clicks)
4|Master Gardener Volunteer|10+|Male|65+|educate the public|more education opportunities for the volunteers|more involvement in invasive issues|lack of timely education for members
5|County Coordinator/Educator|43595|Female|25-44|Educates, trains mgvs well. The curriculum and materials of level one are well organized, and comprehensive.  The feet on the ground, doing work in our community, and projects carried out improve our state immeasurably. |I think that there are some communication gaps, at times. |Id like to see more projects feeding communities. |Atleast up here in the northwoods, short garden season, and information is difficult to reach people, recruit with. 
6|Master Gardener Volunteer|0-5|Female|45-64|I am a very new master gardener and I am excited to learn a ton and get my hands dirty.  Very excited to help!|NA|NA|NA
7|Local support staff|43595|Female|45-64|The program does several projects throughout the community.|Establish better timelines for meetings. Sometimes, things do not get accomplished in the time span they have. The Master Gardeners need to stick to their timeline.|New members on the board, need new ideas, continue to offer Master Gardener classes|I do not see any competitors.
8|Master Gardener Volunteer|43595|Female|65+|garden conferences|need more educational meetings|online education opens up new opportunities|don't know
9|Master Gardener Volunteer|43595|Female|45-64|"Monthly programming, annual plant sale, online ""classes"" and information from UW Extension"|Programming is at local level. Would be nice to share programming that other MGs are doing throughout the state.|Younger people getting involved. More community focus on people who aren't necessarily MGs nor want to be. However, grow food. Is there a trend towards backyard gardens again?|People aging. Not advertising ENOUGH…the online resources. 
10|Master Gardener Volunteer|10+|Female|45-64|community-based support, interesting training program|"I don't feel qualified to answer this.  As a volunteer, I would like more demonstration training in the teaching garden so that when I am talking to neighbors or other interested parties, I feel confident about what I am saying as a ""master gardener.""  Even short videos sent to us would be fine"|Gardens in food deserts, Cooperative work with food pantries, Beautification of low income neighborhoods and forgotten areas of the city|I don't see them as competitors but there are other good teaching programs at Olbrich Gardens
11|Master Gardener Volunteer|0-5|Male|25-44|Teach local people how to help other local people with gardening questions/problems/ideas.|Continued yearly requirements to keep certification active instead of multi-year certification.|Kickstart the support of new public gardens with support packages/plans.|Decrease in funding
